,event_type,strength_state
2134,missed-shot,5v4
2140,shot-on-goal,5v5
2141,shot-on-goal,5v5
2142,shot-on-goal,5v5
2144,missed-shot,5v5
2152,goal,5v4
2154,shot-on-goal,5v4
2155,shot-on-goal,5v4
2159,shot-on-goal,5v5
2161,shot-on-goal,5v5
2164,missed-shot,5v5
2167,shot-on-goal,5v5
2172,missed-shot,5v5
2175,shot-on-goal,5v5
2178,shot-on-goal,5v5
2184,goal,5v5
2189,missed-shot,5v5
2191,shot-on-goal,5v5
2195,goal,5v5
2201,shot-on-goal,5v5
2203,missed-shot,5v5
2205,shot-on-goal,5v5
2207,shot-on-goal,5v5
2208,shot-on-goal,5v5
2209,shot-on-goal,5v5
2210,shot-on-goal,5v5
2211,shot-on-goal,5v5
2212,shot-on-goal,5v5
2213,shot-on-goal,5v5
2215,shot-on-goal,5v5
2217,shot-on-goal,5v5
2218,shot-on-goal,5v5
2221,goal,5v5
2225,missed-shot,5v5
2226,goal,5v5
2238,missed-shot,5v5
2239,shot-on-goal,5v5
2241,missed-shot,5v5
2249,goal,5v4
2255,missed-shot,5v5
2258,shot-on-goal,5v5
2259,shot-on-goal,5v5
2261,shot-on-goal,5v5
2266,missed-shot,5v5
2268,shot-on-goal,5v5
2270,missed-shot,5v5
2273,shot-on-goal,5v5
2275,shot-on-goal,5v5
2276,missed-shot,5v5
2284,shot-on-goal,5v5
2285,shot-on-goal,5v5
2287,shot-on-goal,5v5
2293,shot-on-goal,5v5
2298,missed-shot,5v5
2299,shot-on-goal,5v5
2301,shot-on-goal,5v5
2302,missed-shot,5v5
2305,missed-shot,5v5
2309,shot-on-goal,5v5
2310,shot-on-goal,5v5
2318,missed-shot,5v5
2320,missed-shot,5v5
2324,missed-shot,5v5
2327,shot-on-goal,5v5
2329,missed-shot,5v5
2330,shot-on-goal,5v5
2335,missed-shot,5v5
2338,shot-on-goal,5v5
2342,shot-on-goal,5v4
2343,shot-on-goal,5v4
2347,missed-shot,5v4
2353,shot-on-goal,4v5
2355,shot-on-goal,4v5
2358,shot-on-goal,5v4
2359,missed-shot,5v4
2363,shot-on-goal,5v5
2364,missed-shot,5v5
2365,shot-on-goal,5v5
2372,missed-shot,5v5
2374,shot-on-goal,5v5
2376,missed-shot,5v5
2378,missed-shot,5v5
2379,missed-shot,5v5
2383,shot-on-goal,5v5
2389,shot-on-goal,5v5
2391,shot-on-goal,5v5
2395,shot-on-goal,5v5
2408,shot-on-goal,5v4
2410,shot-on-goal,5v4
2412,shot-on-goal,5v4
2414,missed-shot,5v4
2417,shot-on-goal,5v5
2419,goal,5v5
2421,shot-on-goal,5v5
2422,shot-on-goal,5v5
2427,shot-on-goal,5v5
2429,shot-on-goal,5v5
2431,missed-shot,5v5
2432,shot-on-goal,5v5
2433,shot-on-goal,5v5
2440,missed-shot,5v4
2443,shot-on-goal,5v4
2444,missed-shot,5v4
2445,shot-on-goal,5v5
2450,shot-on-goal,Other
2451,goal,Other
2455,missed-shot,5v5
2464,shot-on-goal,5v5
2467,missed-shot,5v5
2470,shot-on-goal,5v5
2473,shot-on-goal,5v5
2478,missed-shot,5v4
2480,goal,5v4
2489,shot-on-goal,5v5
2495,missed-shot,5v5
2496,missed-shot,5v5
2505,shot-on-goal,5v5
2509,shot-on-goal,5v5
2512,shot-on-goal,5v5
2513,shot-on-goal,5v5
2515,shot-on-goal,5v4
2521,missed-shot,Other
2523,shot-on-goal,Other
2527,shot-on-goal,5v5
2533,missed-shot,5v5
2537,missed-shot,5v4
2538,missed-shot,5v4
2539,shot-on-goal,5v4
2540,shot-on-goal,5v4
2541,shot-on-goal,5v4
2542,missed-shot,5v4
2551,shot-on-goal,5v5
2554,shot-on-goal,5v5
2556,shot-on-goal,5v5
2565,shot-on-goal,5v5
2566,shot-on-goal,5v5
2567,shot-on-goal,5v5
2572,shot-on-goal,5v5
2574,missed-shot,5v5
2579,goal,5v5
2595,shot-on-goal,5v5
2598,missed-shot,5v4
2599,shot-on-goal,5v4
2602,shot-on-goal,5v4
2603,goal,5v5
2609,shot-on-goal,5v5
2610,shot-on-goal,5v5
2613,shot-on-goal,5v5
2617,missed-shot,5v5
2618,missed-shot,5v5
2622,goal,5v4
2625,shot-on-goal,5v5
2627,shot-on-goal,5v5
2631,shot-on-goal,5v4
2633,missed-shot,5v4
2637,missed-shot,5v5
2638,missed-shot,5v5
2643,missed-shot,5v4
2645,shot-on-goal,5v4
2646,shot-on-goal,5v4
2649,shot-on-goal,5v5
2650,shot-on-goal,5v5
2652,shot-on-goal,5v5
2655,missed-shot,5v5
2662,missed-shot,5v5
2663,shot-on-goal,5v5
2667,missed-shot,5v4
2668,missed-shot,5v4
2671,shot-on-goal,5v4
2672,shot-on-goal,5v4
2673,shot-on-goal,5v4
2674,shot-on-goal,5v4
2676,shot-on-goal,5v5
2679,shot-on-goal,5v5
2681,shot-on-goal,5v5
2683,shot-on-goal,5v5
2685,shot-on-goal,5v5
2689,shot-on-goal,5v5
2700,shot-on-goal,5v5
2706,shot-on-goal,5v5
2708,missed-shot,5v5
2710,missed-shot,5v5
2714,shot-on-goal,5v5
2716,shot-on-goal,Other
2717,shot-on-goal,Other
2719,shot-on-goal,Other
2720,missed-shot,Other
2723,goal,Other
2730,shot-on-goal,5v5
2734,missed-shot,5v5
2737,shot-on-goal,5v5
2738,shot-on-goal,5v5
2739,shot-on-goal,5v5
2742,shot-on-goal,5v5
2743,missed-shot,5v5
2746,shot-on-goal,5v4
2747,goal,5v4
2753,missed-shot,5v5
2755,shot-on-goal,5v5
2757,missed-shot,5v5
2761,shot-on-goal,5v5
2764,missed-shot,5v5
2766,shot-on-goal,5v5
2768,shot-on-goal,5v5
2773,shot-on-goal,5v5
